sex,age_days,l,m,s
1,689,-0.00630,11.87840,0.11349
1,690,-0.00650,11.88500,0.11351
1,691,-0.00670,11.89160,0.11353
1,692,-0.00690,11.89820,0.11354
1,693,-0.00700,11.90480,0.11356
1,694,-0.00720,11.91140,0.11358
1,695,-0.00740,11.91800,0.11360
1,696,-0.00760,11.92460,0.11362
1,697,-0.00780,11.93120,0.11364
1,698,-0.00790,11.93780,0.11365
1,699,-0.00810,11.94440,0.11367
1,700,-0.00830,11.95100,0.11369
1,701,-0.00850,11.95760,0.11371
1,702,-0.00870,11.96420,0.11373
1,703,-0.00880,11.97070,0.11375
1,704,-0.00900,11.97730,0.11376
1,705,-0.00920,11.98390,0.11378
1,706,-0.00940,11.99050,0.11380
1,707,-0.00950,11.99710,0.11382
1,708,-0.00970,12.00370,0.11384
1,709,-0.00990,12.01030,0.11386
1,710,-0.01010,12.01680,0.11388
1,711,-0.01020,12.02340,0.11389
1,712,-0.01040,12.03000,0.11391
1,713,-0.01060,12.03660,0.11393
1,714,-0.01080,12.04310,0.11395
1,715,-0.01100,12.04970,0.11397
1,716,-0.01110,12.05630,0.11399
1,717,-0.01130,12.06290,0.11401
1,718,-0.01150,12.06940,0.11403
1,719,-0.01170,12.07600,0.11404
1,720,-0.01180,12.08260,0.11406
1,721,-0.01200,12.08910,0.11408
1,722,-0.01220,12.09570,0.11410
1,723,-0.01240,12.10230,0.11412
1,724,-0.01250,12.10880,0.11414
1,725,-0.01270,12.11540,0.11416
1,726,-0.01290,12.12200,0.11418
1,727,-0.01310,12.12850,0.11420
1,728,-0.01320,12.13510,0.11421
